	entities.hashtags.0.text	entities.hashtags.1.text	retweet_count	text
3			0.0	I
4			0.0	SO EXCITED FOR TONIGHT MY DAD AROUND WAITING FOR X FACTOR TO COME ON SO LAME SO SORRY
6			0.0	Me pagan karate de
7			0.0	YES x I tell much important
8			0.0	Mi define mi soy
9			0.0	Ni en para la sale arriba de la bikini
10	half	tb	0.0	nu met met thee ens half back
12			0.0	Can go launch already
13			0.0	Top Best Gangster Past struggling make It
14			0.0	Cheap Color Change Test Could Revolutionize Detection Care
15			0.0	My suddenly
16			0.0	A las te das son para ti
17			0.0	Wind W Barometer Steady Temperature C Rain today Humidity
18			0.0	link
19			0.0	I go ahead smile
21			0.0	tu ami
22			0.0	es
23			0.0	news feed everyone ask see stupid mine say
24			0.0	given idea birthday card
26	GYM		0.0	GYM suave
27			0.0	I OFFICE
28			0.0	I
29			0.0	Twitter
30			0.0	Lo
31			0.0	I u
32			0.0	speech van Gent nog
33	beach		0.0	Throwback favorite place beach missing
34	follow	s	0.0	dont afraid follow
35			0.0	da x ea
36			0.0	lo ya fin se la con en la
37			0.0	te la las con calor
38	tuiteumfilmecomcouveflor		35.0	Potter e
39			5.0	Dit zo
41			1.0	Moral story set may get least say first
42			1.0	Con mi
43			0.0	My part Thanksgiving
44			1.0	La en un soy el amor de
45			1.0	Musical Con la de
46			1.0	study stud st slee sleep
47			0.0	te
49			1.0	O e
50			0.0	Do realize many could people would take time take dirt
51			0.0	Never knew funny ALWAY quite I saw East Side
52			0.0	Si No te No Es No Si No No Te c
53	CosasQNoComprendo		0.0	Mi dice q soy mal
55			0.0	es te
56			0.0	de Hoy es el de es se de
58			0.0	q de comer
60	egenföretagare		0.0	En vara och
61			0.0	la te te te La
62			0.0	boa para se na piscina
63			0.0	sou em
68	applejp		0.0	Galaxy
69	commercialdrive	local	0.0	Our gallery right heart come say hello Doctor Art Gallery Commercial Drive local
70			0.0	Super un fiasco I di Super la sera Novem
72			0.0	mad
74			0.0	Lo Yo En Mi
75			0.0	knock knock Who bathroom Me Who I EXACTLY WHAT MY MUM
76			0.0	Hora Orange Chicken
80			0.0	um
83			0.0	I yet achieve level purity I working tho
84			0.0	tu sur tu ton trajet
85			0.0	se con swag
86			0.0	result la tu D aku check
87			0.0	I make soul soothing tea watch
88			0.0	Si lo te
89			0.0	Is impression
91			0.0	These dirty people sad thing didnt realize dirty
92			0.0	The rule world
93			0.0	yes girl My
94			0.0	e para
95			0.0	Yap
98			0.0	I hooked And Buffalo Wild
100			0.0	lo de
101			1715.0	te Lo te de
102	hospital		0.0	Not I pictured night hospital
104			1.0	Ca elle dire un elle dit
105			32.0	HET BENT
109			1.0	Some people live drama
112			0.0	mu mi
113			0.0	gay
114			0.0	Mil
115	gtst		0.0	Bing de joint
116			0.0	get half leave half S S
117			0.0	Soon Time Change Twitter
118			0.0	na aula Bob
119			0.0	con D
120			0.0	This mailman truck sidewalk
124			0.0	Con tu de mi la persona
125			0.0	n de e
126			0.0	Te
127			0.0	lad stuff like Am pub
128	Media	Law	0.0	New Copyright Act Becomes Law In Part Media Law
130			0.0	mon amour
131			0.0	el aire el si tu mi amor
133			0.0	heel erg ugh
135			0.0	amor
136			0.0	ready well Ready Turkey oh never mind It warmed nicely pants
137			0.0	tu en par el de D para el
138			0.0	de
139			0.0	es lo echo S
140	Antártida		0.0	mas de la de
141			0.0	Las son las de para
142	acoustic	shows	0.0	Set List acoustic
145			0.0	GET FREE
146			0.0	Join marijuana movement joint effort
148			13.0	La
151			3.0	New Album Salaam Out Now via
153			14.0	smoke detector really loud annoying
154			0.0	This ass ready
157			0.0	das
158			0.0	D
159			0.0	Hi Lucy I Swiss big big fan I LOVE YOU SO MUCH Please follow
160			0.0	exactly
161	bollywood		0.0	impact News Corp earnings
164			0.0	gin
165	LaPrimeraCanciónQueEscuchéDe		0.0	La H
166			0.0	cute
168			0.0	Is anywhere fun exciting
170			0.0	I school hockey
171			0.0	I hungry
172	iPad	iPadGames	0.0	I new level Help save Mirror World
174			0.0	ugh wha
175			0.0	I said Not
176			0.0	wat thinking
177			0.0	non che Non di solo
178	IAN1		0.0	LOADED WITH Daisy via Study may struggle
179			0.0	loka
180			0.0	yes dey like north face
181			0.0	na
183			0.0	Dit zo
184			0.0	The world next month Everyone show random act kindness today The world needs heal
185			0.0	O ga na u grad
188			0.0	Perfect night clearly subjective thing
190			0.0	I one
192			1.0	Believe run back thing dream fear
193	Federer	FinalShowdown	420.0	place th time beating Group B
194			0.0	j wave
196			0.0	ne b
197			0.0	con
198			1.0	You say take ride Get
200			3.0	This Club w party miss
